"","Subject","Condition","mean.peeking","count"
"1","Coco","Functional",0,0
"2","Coco","Non-functional",0,0
"3","Fay","Functional",0.00775893844452635,1
"4","Fay","Non-functional",0,0
"5","Frowin","Functional",0.0166211179327576,3
"6","Frowin","Non-functional",0.0157509946035781,2
"7","JeanLuc","Functional",0.00117270217385477,1
"8","JeanLuc","Non-functional",0,0
"9","John","Functional",0.0867118046287732,7
"10","John","Non-functional",0.0301902506292705,3
"11","Kermit","Functional",0,0
"12","Kermit","Non-functional",0,0
"13","Kiri","Functional",0.0125769000915227,3
"14","Kiri","Non-functional",0.0193103505135572,2
"15","Lilly","Functional",0,0
"16","Lilly","Non-functional",0,0
"17","Mali","Functional",0.0098915592028136,1
"18","Mali","Non-functional",0.00356927567498969,1
"19","Odo","Functional",0.0170351640597436,1
"20","Odo","Non-functional",0.0193319316212037,3
"21","Paul","Functional",0.0224178601357461,3
"22","Paul","Non-functional",0.0268624313649565,3
"23","Pick","Functional",0.0202481073169451,3
"24","Pick","Non-functional",0.00932168231084375,1
"25","Plume","Functional",0.0248671087176734,3
"26","Plume","Non-functional",0.00809695219911346,2
"27","Roku","Functional",0,0
"28","Roku","Non-functional",0.0592475435097757,7
"29","Skipper","Functional",0,0
"30","Skipper","Non-functional",0,0
"31","Sunny","Functional",0,0
"32","Sunny","Non-functional",0,0
"33","Tai","Functional",0.0207238867045737,2
"34","Tai","Non-functional",0,0
